GymID,Net,Name,Phone,Address,Mail,PlusCode,GeoX,GeoY,Cost,WorkinghourA,WorkinghourB,WorkinghourC,WorkinghourD,WorkinghourE,WorkinghourF,WorkinghourG,Website
11,Profit,?????? ?????,046439933,????? G,Profit.yok@gmail.com,M463+3W Yokne'am Illit,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-18:00,10:00-23:00,https://www.profitgym.co.il/branch/%d7%99%d7%a7%d7%a0%d7%a2%d7%9d/
12,Profit,?????? ????? ????,"08-8600501
",????? ???? ??' ???? ???? 4 ???? ????? ?? - ???,profitmazkeret@gmail.com,VR2R+2C Mazkeret Batya,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,18:00-22:00,https://www.profitgym.co.il/branch/%d7%9e%d7%96%d7%9b%d7%a8%d7%aa-%d7%91%d7%aa%d7%99%d7%94/
13,Profit,?????? ????? ??,"073-787-1716
","?????? 21, ???? ??",service@profitgym.co.il,JQ38+J4 Kiryat Gat,0,0,150,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-17:00,19:00-23:00,https://www.profitgym.co.il/branch/%d7%a7%d7%a8%d7%99%d7%99%d7%aa-%d7%92%d7%aa/
14,Profit,?????? ??? ????,03-5338050,"???? ?????? 1, ???? ???? ???? ????",Profitgymrh@gmail.com,4W3V+V2 Rosh Haayin,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-16:30,19:00-23:00,https://www.profitgym.co.il/branch/%d7%a4%d7%a8%d7%95%d7%a4%d7%99%d7%98-%d7%a8%d7%90%d7%a9-%d7%94%d7%a2%d7%99%d7%9f-%d7%91%d7%a7%d7%a8%d7%95%d7%91/
15,Profit,?????? ??? ?????,03-9649460,"???? ???? 5, ???? ????. ??? ?????",profithamoshavot@gmail.com,4V3J+8V Petah Tikva,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-15:00,18:00-23:00,https://www.profitgym.co.il/branch/%d7%a4%d7%aa%d7%97-%d7%aa%d7%a7%d7%95%d7%95%d7%94-%d7%90%d7%9d-%d7%94%d7%9e%d7%95%d7%a9%d7%91%d7%95%d7%aa-%d7%91%d7%a7%d7%a8%d7%95%d7%91/
16,Profit,?????? ??? ?????,08-9310999,??? 4 - ???? ??????? ??? ?????,profitbtuvia@gmail.com,PQH2+7H Kiryat Malakhi,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,18:00-23:00,https://www.profitgym.co.il/branch/%d7%91%d7%90%d7%a8-%d7%98%d7%95%d7%91%d7%99%d7%94/
17,Profit,?????? ??-??,03-6132999,??-?? ??' ?????? 11,linorprofit@gmail.com,2Q72+PF Bat Yam,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%91%d7%aa-%d7%99%d7%9d/
18,Profit,?????? ??? ?????,04-7790970,????? '??? ????',Profit.nazareth@gmail.com,P839+M6 Nof HaGalil,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a0%d7%a6%d7%a8%d7%aa-%d7%a2%d7%99%d7%9c%d7%99%d7%aa/
19,Profit,?????? ??? ????? – ?????,03-5336136,"?? ???? ????? 57, ????? ?????? ?????.",sales1profitgym@gmail.com,4V4P+XM Petah Tikva,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a4%d7%aa%d7%97-%d7%aa%d7%a7%d7%95%d7%95%d7%94/
20,Profit,?????? ????? ????,03-9112333,????? ????? ????,service@profitgym.co.il,3V47+6C Kiryat Ono,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a7%d7%a8%d7%99%d7%99%d7%aa-%d7%90%d7%95%d7%a0%d7%95/
21,Profit,?????? ?????? + ??? ??,077-9101827,"???? ????""? 9",profit.ramatgan@gmail.com,3RM8+JP Ramat Gan,0,0,150,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,08:00-14:00,20:30-23:00,https://www.profitgym.co.il/branch/%d7%a8%d7%9e%d7%aa-%d7%92%d7%9f/
22,Profit,?????? ??? ?????,04-8007700,"????? ?????, ????? ????? ?????? 1, ???? 2",orakiva100@gmail.com,GW2G+QR Or Akiva,0,0,150,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-14:00,09:00-16:00,https://www.profitgym.co.il/branch/%d7%90%d7%95%d7%a8-%d7%a2%d7%a7%d7%99%d7%91%d7%90/
23,Profit,?????? ????,08-9427484,"?????? 1, ????",profityavne2@gmail.com,VPPM+9Q Yavne,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-16:00,18:00-23:00,https://www.profitgym.co.il/branch/%d7%99%d7%91%d7%a0%d7%94/
24,Profit,?????? ?????,04-6566560,???? ??????? 4 - ?????,profitgymafula1@gmail.com,J74R+MG Afula,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-18:00,10:00-23:00,https://www.profitgym.co.il/branch/%d7%a2%d7%a4%d7%95%d7%9c%d7%94/
25,Profit,?????? ???????,02-6317777,???? ????? 17 ????? ?? ?????? ???? 1,yaniv257@gmail.com,Q625+89 Jerusalem,0,0,150,05:30-23:00,05:30-23:00,05:30-23:00,05:30-23:00,05:30-23:00,05:30-18:00,08:00-23:00,https://www.profitgym.co.il/branch/%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d/
26,Profit,?????? ????”? in the city,03-9339000,"???? ??????? 60, ???? ?????",service@profitgym.co.il,XQ7C+XR Rishon LeTsiyon,0,0,150,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:30-17:00,19:00-23:00,https://www.profitgym.co.il/branch/%d7%a8%d7%90%d7%a9%d7%9c%d7%a6-%d7%94%d7%aa%d7%96%d7%9e%d7%95%d7%a8%d7%aa/
27,space,?????? ???? ????? ??????,8979*,"???? ???? 10, ??????",Empty,VQVQ+VQ Rehovot,0,0,250,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=1037&pageId=1189
28,space,?????? ????? ???? ??????,8979*,"??????,  ????? ?????? 58", kabalaherz@spaceclub.co.il,5R8W+QJ Herzliya,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=29&pageId=1102
29,space,?????? ????? ??????,8979*, ?????? 47,mtelaviv@spaceclub.co.il,3Q9G+GC Tel Aviv-Yafo,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=17&pageId=1075
30,space,?????? ????? ???? ??????,8979*," ??????,  ????? ???? ???? 10",Reh_Kabala@spaceclub.co.il,VQVQ+VQ Rehovot,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=25&pageId=1094
31,space,?????? ????? ???? ????? ???,8979*,"????? ???,  ????? ????? 1", mkiryatata@spaceclub.co.il,R474+33 Kiryat Ata,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=21&pageId=1079
32,space,?????? ????? ???? ??? ?????,8979*,??? ?????  ??????? 90,mramats@spaceclub.co.il,4RXQ+9X Ramat Hasharon,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=33&pageId=58
33,space,?????? ????? ???? ????? ??? ????,8979*,"??? ????,  ????? ?????? 75",Kabalayar@spaceclub.co.il,3QG8+QR Tel Aviv-Yafo,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=14&pageId=12
34,space,?????? ????? ???? ?? ??,8979*,"?? ??,  ????? ???????? 9", mbatyam@spaceclub.co.i,2P4X+WP Bat Yam,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/default.aspx?clubId=1033
35,space,????? ???? ??????,8979*,??????  ????? ????? 3,mashkelon@spaceclub.co.il,MHF9+76 Ashkelon,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=1033&pageId=1128
36,space,????? ????,8979*,"????? ????,  ????? ??????? 40 ", mhadera@spaceclub.co.il,CWPC+XH Hadera,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=22&pageId=1082
37,space,?????? ????? ???? ???????,8979*,?? ?????? 182 ???????,mclub.givatayim@spaceclub.co.il,3RF9+V8 Giv'atayim,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=1035&pageId=1146
38,space,?????? ????? ???? ???? ????,8979*,???? ???? 76, Sherutya@spaceclub.co.il,3Q8V+66 Tel Aviv-Yafo,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=15&pageId=1071
39,space,?????? ????? ?????,8979*,??????? 26 ???? ???????,mholon@spaceclub.co.il,2R52+47 Holon,0,0,189,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=23&pageId=1085
40,space,?????? ????? ???? ????,8979*,????? ?????? ?? ???? ????,mnegev@spaceclub.co.il,6QVV+FR Be'er Sheva,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=32&pageId=1058
41,space,?????? ????? ??? ???,8979*,?????? 3 ????? ??????,mgsaba@spaceclub.co.il ,5VVR+3J Kefar Sava,0,0,199,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=20&pageId=1057
42,space,?????? ????? ???? ??? ??????,8979*,??? ?????? 62, mclub.tlv-ag@spaceclub.co.il,3QHJ+PJ Tel Aviv-Yafo,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=1034&pageId=1136
43,space,?????? ????? ???? ????????,8979*,??????? 72, Kabalaflo@spaceclub.co.il,3Q48+6M Tel Aviv-Yafo,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=16&pageId=13
44,space,?????? ????? ???? ???????,8979*,"???????,  ????? ??? 2 ???? ???????",rs_manager@spaceclub.co.il,WRX3+R6 Rishon LeTsiyon,0,0,99,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=24&pageId=1089
45,space,?????? ????? ???? ?????,8979*,???? ????? ??? ???, mbeersheva@spaceclub.co.il,7Q2C+4M Be'er Sheva,0,0,179,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.spaceclub.co.il/clubs/clubSubPage.aspx?clubId=27&pageId=1109
46,lazuz,"?????? ???? ???? ????""? ????",03-529-9932,???????? 27? ????? ?????,lazuz.rishon@gmail.com,XQ9M+X8 Rishon LeTsiyon,0,0,100,6:00–23:00,6:00–23:00,6:00–23:00,6:00–23:00,6:00–23:00,6:00–17:00,20:30–23:30,https://lazuzrishonmaarav.business.site/
47,lazuz,?????? ???? ???? ????? ?????,03-529-9932,???? ????? 20 ????? ?????,lazuz.rishon@gmail.com,XQ8M+X8 Rishon LeTsiyon,0,0,100,6:00–23:00,6:00–23:00,6:00–23:00,6:00–23:00,6:00–23:00,6:00–17:00,20:30–23:30,https://m.facebook.com/lazuzrishon/
48,lazuz,?????? ???? ???? ?????,074-701-9901,?????? ??? ??????,ashdodlazuz@gmail.com,,0,0,100,6:00–23:00,6:00–23:00,6:00–23:00,6:00–23:00,6:00–23:00,6:00–17:00,20:30–23:30,https://www.facebook.com/lazuzashdod/
49,8CLUB,8CLUB,054-7378515,"???? 4 , ?? ????, ????? ????",office@freefit.co.il,7W59+3C Tel Mond,0,0,250,"6.30-10:30,
14.00-22.00","6.30-10:30,
14.00-22.00","6.30-10:30,
14.00-22.00","6.30-10:30,
14.00-22.00","6.30-10:30,
14.00-22.00",7:30:16:00,X,http://8club.co.il/
50,AGS,AGS ?????? ???????? ????????????,050-7110045,"????? ????? 3, ?""?-???",Amit@ultimatetlv.com,4Q7P+F4 Tel Aviv-Yafo,0,0,300,"6.30-10:30,
14.00-22.00","6.30-10:30,
14.00-22.00","6.30-10:30,
14.00-22.00","6.30-10:30,
14.00-22.00","6.30-10:30,
14.00-22.00",7:30:16:00,19:30-23:00,https://www.instagram.com/tv/CAAQYEiDHTa/?igshid=5c26qg
51,B active,B active-???? ?????,04-694-9988,"?? ?? 93, ???? ?????",bactive.ks@gmail.com,6HCG+H6 Qiryat Shemona,0,0,,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-14:00,08:00-23:00,https://bactive.co.il/
52,B-FIT,"B-FIT 
?????? ???????? ???????-??????",054-2255871,"????? 1, ??????",bfitbyangelika@gmail.com,CWPC+XH Rehovot,0,0,220,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-18:00,08:00-20:00,http://b-fit.co.il/
53,COLLEGYM,COLLEGYM-?????,09-8623692,"??' ??????????? 1, ?????",info@collegym.co.il,8W7W+4H Netanya,0,0,160,05:30-22:00,05:30-22:00,05:30-22:00,05:30-22:00,05:30-22:00,06:00-16:00,19:00-23:00,https://collegym.com/
54,CROSSFIT,CROSSFIT REHOVOT-??????,058-5507111,"??' ?????? 7 , ??????",croosfit.rehovot@gmail.com,CORC+XH Rehovot,0,0,189,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,http://crossfitrehovot.com/
55,Extra gym,Extra gym ??? ????-????,074-7022090,"????? 19, ????",extra.gym@gmail.com,2WXW+PJ El'ad,0,0,250,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-14:30,21:30-00:30,http://www.exstragym.co.il
56,"fitness 
factory",fitness factory-??? ?????,03-5359000,????? 33 ??? ?????,fitness@gmail.com,3V4G+G7 Ganei Tikva,0,0,169,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-18:00, 10:00-22:00,http://www.fitnessfactory.co.il
,fr,,,,,,0,0,,,,,,,,,
57,friends,friends-?? ????,*3163,"????? ?????? 121, ?? ????",friendsfit@gmail.com,3YTJ+PJ Tel Aviv-Yafo,0,0,179,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,http://www.friendsfit.co.il
58,"holmes
 place",????? ????? ???????,*9940,"???? ???? ???? 53, ????? ???????",holmes.place@gmail.com,3R85+PW Giv'atayim,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-givatayim/
59,"holmes
 place",????? ????? ???????,*9940,"??? ???? 48, ???????",holmes.place@gmail.com,V2X8+XM Modi'in-Maccabim-Re'ut,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-modiin/
60,"holmes
 place",?? ????? ????? ????,*9940,??? ???? ???? 1 ???? ????,holmes.place@gmail.com,3V97+47 Kiryat Ono,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-kiryat-ono//
61,"holmes
 place",????? ????? ??? ???,*9940,"???? ???? 10, ???? ?????? ????""?,
 ??? ???",holmes.place@gmail.com,6QWM+27 Be'er Sheva,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-beer-sheva/
62,"holmes
 place",????? ????? ?????? ?????,*9940,"???? ???? 1, ??? ????, 
?????? ?????",holmes.place@gmail.com,5R76+QX Herzliya,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-herzeliya/
63,"holmes
 place",????? ????? ?????,*9940,"??? ????????, ??' ????? 1, ?????",holmes.place@gmail.com,5VRM+XW Ra'anana,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-raanana/
64,"holmes
 place",????? ????? ???????,*9940,"????? ???????, ???? 3. ?? ????",holmes.place@gmail.com,3QFR+JV Tel Aviv-Yafo,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-azrieli/
65,"holmes
 place",????? ????? ??????,*9940,????? ??????? ???? ??????,holmes.place@gmail.com,GW73+4P Caesarea,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-caesarea/
66,"holmes
 place",????? ????? ????? ??? ????,*9940,"????? ????? 5, ??? ????",holmes.place@gmail.com,3XPG+FP Rosh Haayin,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-rosh-haayin/
67,"holmes
 place",????? ????? ???? ???????,*9940,"????? ???? ??????? 8, ?????? ",holmes.place@gmail.com,5R8F+2F Herzliya,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-7-stars/
68,"holmes
 place",?? ????? ??? ??,*9940,???? 15 ???? ???? ??? ??,holmes.place@gmail.com,3RCH+G7 Ramat Gan,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-ramat-gan/
69,"holmes
 place",????? ????? ??? ????,*9940,"?????? ?????, ?'???????? 72, 
???-?????",holmes.place@gmail.com,3VV8+87 Petah Tikva,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-petah-tikva/
70,"holmes
 place",????? ????? ??????? ????? ?????,*9940,"???? ???? 5, ???? G2, ????? ?????",holmes.place@gmail.com,XQM9+WQ Rishon LeTsiyon,0,0,299,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,06:00-22:00 ,07:00-17:00,08:00-20:00,https://www.holmesplace.co.il/club-page-rishon_le_zion_premium/
,,,,,,,,,,,,,,,,,
